,id_ticket,fecha,id_empleado,id_agente,categoría,tipo,severidad,prioridad,días_resolución,satisfacción,semestre
4,GDLEER-0042524120,2016-06-03,1842.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,semestre2
5,GDLEER-0142608095,2016-08-26,59.0,20.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,semestre1
6,GDLEER-0242564650,2016-07-13,1175.0,36.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,1.0,semestre1
7,GDLEER-0542574815,2016-07-23,561.0,18.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
8,GDLEER-0842457219,2016-03-28,71.0,12.0,Software,Problema,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre2
9,GDLEER-1242542213,2016-06-21,1831.0,42.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
10,GDLEER-1342611596,2016-08-29,1049.0,5.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
11,GDLEER-1442518153,2016-05-28,1845.0,21.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
12,GDLEER-2142385152,2016-01-16,1825.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre2
13,GDLEER-2342642781,2016-09-29,468.0,17.0,Software,Problema,4 - Crítico,0 - Sin Asignar,3.0,5.0,semestre1
14,GDLEER-2342666259,2016-10-23,915.0,2.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
15,GDLEER-2342731423,2016-12-27,422.0,24.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
16,GDLEER-2442674384,2016-10-31,78.0,23.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre1
17,GDLEER-3042595564,2016-08-13,1106.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,semestre1
18,GDLEER-3042628638,2016-09-15,1863.0,46.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre1
19,GDLEER-3042666351,2016-10-23,1915.0,43.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,4.0,semestre1
20,GDLEER-3042712706,2016-12-08,140.0,27.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,semestre1
21,GDLEER-3042727271,2016-12-23,1207.0,2.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,semestre1
22,GDLEER-3142699894,2016-11-25,979.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre1
23,GDLEER-3242515550,2016-05-25,795.0,45.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
24,GDLEER-3342606218,2016-08-24,821.0,32.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
25,GDLEER-3542665966,2016-10-22,1996.0,29.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
26,GDLEER-3642442879,2016-03-13,1547.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
27,GDLEER-3742656857,2016-10-13,1025.0,18.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre1
28,GDLEER-4042683896,2016-11-09,1469.0,38.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,13.0,5.0,semestre1
29,GDLEER-4342489822,2016-04-29,492.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
30,GDLEER-4842380395,2016-01-11,199.0,33.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,16.0,5.0,semestre2
31,GDLEER-4942636742,2016-09-23,1474.0,27.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre1
32,GDLEER-5142678759,2016-11-04,1255.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre1
33,GDLEER-5242634706,2016-09-21,170.0,27.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
34,GDLEER-5342415520,2016-02-15,1522.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
35,GDLEER-5542645174,2016-10-02,1657.0,41.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
