,Location,Number of Households (in 1000),Percentage of households with pets,Number of Pet Households (in 1000),Percentage of Dog Owners,Dog Owning Households (1000s),Mean Number of Dogs per household,Dog Population (in 1000),Percentage of Cat Owners,Cat Owning Households,Mean Number of Cats,Cat Population
0,Alabama,1.83,59.5,1.09,44.1,807.0,1.7,1.41,27.4,501.0,2.5,1.25
1,Arizona,2.52,59.5,1.5,40.1,1.01,1.8,1.8,29.6,743.0,1.9,1.44
2,Arkansas,1148.0,62.4,716.0,47.9,550.0,2.0,1.1,30.6,351.0,2.3,810.0
3,California,12.97,52.9,6.87,32.8,4.26,1.6,6.69,28.3,3.69,1.9,7.12
4,Colorado,1.99,61.3,1.22,42.5,845.0,1.6,1.35,32.3,642.0,1.9,1191.0
5,Connecticut,1.34,54.4,728.0,28.3,379.0,1.3,507.0,31.9,427.0,1.9,796.0
6,Delaware,334.0,56.6,189.0,33.7,113.0,1.4,163.0,33.7,113.0,1.7,187.0
7,District of Columbia,287.0,21.9,63.0,13.1,38.0,1.1,42.0,11.6,33.0,1.9,63.0
8,Florida,7.61,54.4,4.14,35.7,2.72,1.5,4.21,27.3,2.08,2.1,4.38
9,Georgia,3.8,55.1,2.09,40.1,1.52,1.6,2.48,27.3,1.04,2.1,2.16
10,Idaho,568.0,62.0,352.0,42.7,242.0,1.5,357.0,34.6,196.0,2.0,393.0
11,Illinois,5.03,51.8,2.6,32.4,1.63,1.5,2.37,26.3,1.32,1.9,2.45
12,Indiana,2.48,59.9,1.48,39.9,989.0,1.6,1.62,34.4,852.0,2.2,1.91
13,Iowa,1.22,53.6,654.0,33.4,407.0,1.5,610.0,30.3,370.0,2.2,805.0
14,Kansas,1.13,61.0,691.0,42.3,480.0,1.6,774.0,33.3,378.0,1.9,731.0
15,Kentucky,1.78,61.6,1.09,45.9,816.0,1.9,1.53,36.8,654.0,2.1,1.35
16,Louisiana,1.7,55.1,937.0,36.4,619.0,1.8,1115.0,25.9,441.0,2.0,877.0
17,Maine,548.0,62.9,345.0,34.6,190.0,1.6,300.0,46.4,254.0,1.9,498.0
18,Maryland,2.17,52.3,1.13,30.8,667.0,1.4,915.0,29.8,645.0,2.6,1.68
19,Massachusetts,2.62,50.4,1.32,23.6,618.0,1.4,850.0,34.1,892.0,1.8,1.59
20,Michigan,3.8,55.4,2.11,34.6,1.32,1.5,2.04,31.3,1.19,2.0,2.42
21,Minnesota,2.16,53.0,1.15,31.9,690.0,1.4,934.0,29.7,643.0,2.0,1.26
22,Mississippi,1115.0,56.4,629.0,45.2,504.0,1.7,846.0,29.1,324.0,2.1,668.0
23,Missouri,2.5,61.4,1.53,45.9,1.15,1.7,1.98,32.2,805.0,2.1,1.65
24,Montana,410.0,61.3,251.0,41.2,169.0,1.7,282.0,33.6,138.0,2.0,277.0
25,Nebraska,710.0,51.3,364.0,33.8,240.0,1.6,374.0,31.3,222.0,2.3,514.0
26,Nevada,986.0,55.6,548.0,37.1,366.0,1.6,578.0,30.3,299.0,2.1,625.0
27,New Hampshire,508.0,56.8,289.0,30.3,154.0,1.4,212.0,34.2,174.0,1.8,309.0
28,New Jersey,3.18,50.7,1.61,32.4,1.03,1.3,1.34,25.3,803.0,1.8,1.47
29,New Mexico,773.0,67.6,523.0,46.0,356.0,2.0,703.0,32.0,247.0,2.2,533.0
30,New York,7.51,50.6,3.8,29.0,2.18,1.4,3.05,29.1,2.19,1.9,4.26
31,North Carolina,3.7,56.4,2.09,40.3,1.49,1.7,2.52,29.5,1.09,2.0,2.22
32,North Dakota,272.0,53.9,147.0,36.1,98.0,1.4,139.0,31.4,85.0,2.0,174.0
33,Ohio,4.66,57.4,2.68,36.6,1.71,1.6,2.73,33.3,1.55,2.4,3.79
34,Oklahoma,1.48,58.9,872.0,43.2,638.0,2.1,1.33,32.6,482.0,2.2,1.04
35,Oregon,1.5,63.6,957.0,38.8,584.0,1.6,917.0,40.2,605.0,2.0,1.19
36,Pennsylvania,5.17,56.9,2.94,32.9,1.7,1.5,2.48,33.8,1.75,2.0,3.54
37,Rhode Island,434.0,53.0,230.0,29.3,127.0,1.3,161.0,27.6,120.0,1.8,212.0
38,South Carolina,1.76,54.1,951.0,38.6,678.0,1.8,1.19,27.8,490.0,2.1,1.04
39,South Dakota,333.0,65.6,219.0,42.8,143.0,1.5,220.0,39.1,130.0,2.2,290.0
40,Tennessee,2.58,59.6,1.54,44.1,1.14,1.9,2.16,29.8,770.0,2.3,1.75
41,Texas,9.0,58.5,5.26,44.0,3.96,1.8,7.16,28.3,2.54,2.2,5.57
42,Utah,930.0,51.2,476.0,29.4,273.0,1.5,410.0,24.6,229.0,2.0,455.0
43,Vermont,265.0,70.8,188.0,37.7,100.0,1.4,142.0,49.5,131.0,1.8,234.0
44,Virginia,3.02,53.4,1.61,35.4,1.07,1.6,1.7,29.0,876.0,2.1,1.85
45,Washington,2.63,62.7,1.65,36.3,954.0,1.7,1.61,39.0,1.03,1.8,1.84
46,West Virginia,765.0,62.1,475.0,45.8,350.0,1.8,648.0,38.1,291.0,2.2,628.0
47,Wisconsin,2.35,57.5,1.35,33.9,796.0,1.4,1.14,33.0,776.0,1.9,1.51
48,Wyoming,221.0,61.8,137.0,38.8,86.0,1.5,125.0,33.9,75.0,1.9,144.0
